Dia 1,Troncos recibidos: 32.0
1,2,3,4,5,6,7,8,9
25,39,38,0,4,45,26,6,4
16,32,21,0,1,32,17,2,1
0,0,0,0,0,0,0,0,0
100000.0,55714.0,165000.0,70000.0,75556.0,310000.0,44000.0,94000.0,37143.0


Dia 2,Troncos recibidos: 21.0
1,2,3,4,5,6,7,8,9
23,41,17,0,0,37,17,0,0
16,30,20,0,2,32,16,2,2
3,3,8,0,2,7,4,2,2
100000.0,58571.0,167500.0,70000.0,74444.0,310000.0,46000.0,94000.0,35714.0


Dia 3,Troncos recibidos: 6.0
1,2,3,4,5,6,7,8,9
0,12,6,0,0,12,6,0,0
16,30,20,0,1,30,16,2,1
16,18,14,0,1,18,10,2,1
100000.0,58571.0,167500.0,70000.0,75556.0,320000.0,46000.0,94000.0,37143.0


Dia 4,Troncos recibidos: 37.0
1,2,3,4,5,6,7,8,9
26,37,43,4,7,49,27,9,7
20,33,28,4,3,37,20,5,3
0,0,0,0,0,0,0,0,0
92000.0,54286.0,147500.0,63333.0,73333.0,285000.0,39000.0,88000.0,34286.0


Dia 5,Troncos recibidos: 14.0
1,2,3,4,5,6,7,8,9
13,27,12,0,0,25,12,0,0
19,31,27,0,4,37,19,4,4
6,4,15,0,4,12,7,4,4
94000.0,57143.0,150000.0,70000.0,72222.0,285000.0,40000.0,90000.0,32857.0


Dia 6,Troncos recibidos: 47.0
1,2,3,4,5,6,7,8,9
27,39,46,24,26,44,27,22,6
23,34,34,8,10,42,23,9,5
0,0,0,0,0,0,0,0,0
86000.0,52857.0,132500.0,56667.0,65556.0,260000.0,39000.0,80000.0,31429.0


Dia 7,Troncos recibidos: 37.0
1,2,3,4,5,6,7,8,9
26,33,37,12,11,47,25,10,7
23,34,34,8,10,42,23,9,5
0,1,3,0,4,2,1,2,1
86000.0,52857.0,132500.0,56667.0,65556.0,260000.0,39000.0,80000.0,31429.0


Dia 8,Troncos recibidos: 22.0
1,2,3,4,5,6,7,8,9
19,33,25,0,1,33,19,3,1
23,34,34,8,9,40,23,9,4
4,1,9,8,8,7,4,6,3
86000.0,52857.0,132500.0,56667.0,66667.0,270000.0,39000.0,80000.0,32857.0


Dia 9,Troncos recibidos: 35.0
1,2,3,4,5,6,7,8,9
22,33,34,4,11,50,23,7,9
23,34,34,8,9,40,23,9,4
1,1,3,4,3,0,1,3,0
86000.0,52857.0,132500.0,56667.0,66667.0,270000.0,39000.0,80000.0,32857.0


Dia 10,Troncos recibidos: 37.0
1,2,3,4,5,6,7,8,9
31,33,40,16,11,41,28,12,3
23,34,34,8,9,40,23,9,4
1,1,3,4,4,2,1,3,1
86000.0,52857.0,132500.0,56667.0,66667.0,270000.0,39000.0,80000.0,32857.0


Dia 11,Troncos recibidos: 41.0
1,2,3,4,5,6,7,8,9
34,44,46,4,7,55,30,9,7
23,34,31,8,9,40,22,8,4
3,1,3,4,6,3,2,3,1
86000.0,52857.0,140000.0,56667.0,66667.0,270000.0,39000.0,82000.0,32857.0


Dia 12,Troncos recibidos: 10.0
1,2,3,4,5,6,7,8,9
5,20,9,0,0,19,9,0,0
22,31,30,4,7,40,21,6,5
17,11,21,4,7,21,12,6,5
88000.0,57143.0,142500.0,63333.0,68889.0,270000.0,39000.0,86000.0,31429.0


Dia 13,Troncos recibidos: 33.0
1,2,3,4,5,6,7,8,9
22,34,38,0,7,46,24,7,7
22,33,31,4,6,40,22,6,4
3,0,3,4,3,3,2,2,1
88000.0,54286.0,140000.0,63333.0,70000.0,270000.0,39000.0,86000.0,32857.0


Dia 14,Troncos recibidos: 17.0
1,2,3,4,5,6,7,8,9
16,30,17,0,0,28,15,1,0
20,31,30,4,5,39,20,6,5
4,1,13,4,5,11,5,5,5
92000.0,57143.0,142500.0,63333.0,71111.0,275000.0,39000.0,86000.0,31429.0




Patrones usados cada dia1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,15,6,0,2,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,7,0,0,0,5,0,0,0,0,0,1,14,8,0,2,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,2,0,0
1,0,0,0,6,0,0,0,3,0,0,6,0,0,6,13,10,0,2,0,0
2,0,0,0,7,0,0,0,3,0,0,0,0,0,3,13,7,0,2,0,0
0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,13,3,0,2,0,0
1,0,0,0,9,0,0,0,3,0,0,0,0,0,1,13,6,0,2,0,0
4,0,0,0,3,0,0,0,3,0,0,0,0,0,4,13,8,0,2,0,0
0,0,0,0,7,0,0,0,6,0,0,0,0,0,1,16,8,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,13,7,0,2,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,0,2,0,0
